City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Louis Trichardt,ZA,74.05,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
2,Ponta Do Sol,PT,72.72,few clouds,32.6667,-17.1,Hotel do Campo
7,Anuradhapura,LK,70.16,scattered clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
9,Trairi,BR,87.85,scattered clouds,-3.2778,-39.2689,janelas do mar
15,Constitucion,CL,69.96,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
18,Atuona,PF,78.53,light rain,-9.8,-139.0333,Villa Enata
19,Nouakchott,MR,89.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
27,Soyo,AO,86.05,light rain,-6.1349,12.3689,Hotel Mpampa
28,Johi,PK,68.63,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
29,Sur,OM,73.33,few clouds,22.5667,59.5289,Sur Plaza Hotel
32,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
33,Port Alfred,ZA,70.68,light rain,-33.5906,26.891,The Halyards Hotel
37,Hirara,JP,72.16,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
38,Rikitea,PF,76.84,overcast clouds,-23.1203,-134.9692,People ThankYou
40,Hermanus,ZA,74.89,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
42,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Vanimo,PG,78.06,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
45,Kupang,ID,72.18,thunderstorm with light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
47,Pisco,PE,72.01,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
49,Cidreira,BR,76.44,clear sky,-30.1811,-50.2056,Hotel Castelo
50,Ancud,CL,81.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
59,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
60,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Manono,CD,74.01,overcast clouds,-7.3,27.4167,Hotel hewa bora
65,East London,ZA,70.74,light rain,-33.0153,27.9116,Tu Casa
67,Butaritari,KI,80.92,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
68,Kruisfontein,ZA,67.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
71,Victoria,HK,68.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
72,Boyolangu,ID,77.2,overcast clouds,-8.1181,111.8935,Yos ega cv
75,Kapaa,US,71.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Cayenne,GF,78.84,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
81,Liku,ID,74.05,overcast clouds,-0.7275,119.8922,Wahyu
83,Malakal,SS,83.03,broken clouds,9.5334,31.6605,Nile Palace Hotel
84,Arrecife,ES,71.67,scattered clouds,28.963,-13.5477,Hotel Lancelot
91,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
92,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
93,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
96,Batemans Bay,AU,67.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
97,Mar Del Plata,AR,78.82,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Cape Town,ZA,76.26,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
102,Ambilobe,MG,80.24,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
111,Sao Mateus,BR,82.53,broken clouds,-18.7161,-39.8589,Hotel Rio Norte
112,Cabo San Lucas,MX,77.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Guerrero Negro,MX,65.5,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
114,Cururupu,BR,89.35,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
117,Pailon,BO,82.08,light rain,-17.65,-62.75,Alojamiento pailon
118,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
119,Carutapera,BR,88.97,overcast clouds,-1.195,-46.02,Lidera
121,Bredasdorp,ZA,70.92,light rain,-34.5322,20.0403,Bredasdorp Country Manor
122,Port Elizabeth,ZA,70.11,light rain,-33.918,25.5701,39 On Nile Guest House
127,Padang,ID,76.66,light rain,-0.9492,100.3543,Mercure Padang
130,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
131,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
132,Garowe,SO,77.23,scattered clouds,8.4054,48.4845,Curubo Hotel
134,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
137,Bage,BR,87.58,scattered clouds,-31.3314,-54.1069,Hotel Obino - Bagé
138,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
141,Taltal,CL,67.84,overcast clouds,-25.4,-70.4833,Residencial Karime
142,Sinnamary,GF,75.29,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
146,Rocha,UY,78.78,clear sky,-34.4833,-54.3333,Hotel Arrarte
151,Moratuwa,LK,78.82,few clouds,6.773,79.8816,Sa Mansion By Yoho
154,San Patricio,US,72.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Guatire,VE,85.21,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
165,Catemaco,MX,69.55,overcast clouds,18.4167,-95.1167,Hotel Playa Cristal
167,Sao Filipe,CV,76.06,clear sky,14.8961,-24.4956,Hotel Xaguate
173,Sola,VU,81.64,overcast clouds,-13.8833,167.55,Leumerus Bungalows
174,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
176,Acari,PE,80.08,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
181,Nuevo Progreso,MX,75.47,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
184,Vila Velha,BR,87.75,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
186,Dakar,SN,88.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
187,Trelew,AR,84.9,scattered clouds,-43.249,-65.3051,Hotel Touring Club
188,Guiratinga,BR,81.77,light rain,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
191,Saldanha,ZA,71.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
192,Kisiwani,TZ,71.28,moderate rain,-4.1333,37.95,Hashimu Kisiwani
196,Sangre Grande,TT,82.89,overcast clouds,10.5835,-61.1177,Lotus drive
197,Kavieng,PG,81.88,light rain,-2.5744,150.7967,Nusa Island Retreat
199,Conceicao Do Araguaia,BR,85.12,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
202,Yambio,SS,83.86,overcast clouds,4.5721,28.3955,Naivasha Hotel
203,Salalah,OM,71.91,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
206,Atima,HN,68.65,overcast clouds,14.9333,-88.4833,Estancia Lizbels
207,Owerri,NG,89.37,scattered clouds,5.4833,7.0304,Donamario
210,Cerritos,US,67.03,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
213,Manaure,CO,82.51,scattered clouds,11.7751,-72.4445,Hotel Palaaima
215,Brownsville,US,71.94,clear sky,25.9018,-97.4975,University Inn & Suites
217,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
219,Guanambi,BR,82.29,broken clouds,-14.2233,-42.7814,Leopoldo Hotel
221,Sao Sepe,BR,80.55,overcast clouds,-30.1606,-53.5653,Trevo Parque Hotel
