City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,30.36,54,2,5.08,clear sky
1,Louis Trichardt,ZA,-23.0439,29.9032,74.05,62,94,5.08,overcast clouds
2,Ponta Do Sol,PT,32.6667,-17.1,72.72,84,18,8.3,few clouds
3,Manzhouli,CN,49.6,117.4333,-16.44,90,8,4.36,clear sky
4,Lagoa,PT,39.05,-27.9833,59.94,61,78,30.13,broken clouds
5,Brewster,US,41.3973,-73.6171,45.82,76,1,3.0,clear sky
6,Avera,US,33.194,-82.5271,53.74,56,18,11.61,few clouds
7,Anuradhapura,LK,8.3565,80.4173,70.16,90,50,4.92,scattered clouds
8,Vagamo,NO,61.8751,9.0967,9.27,96,99,2.04,light snow
9,Trairi,BR,-3.2778,-39.2689,87.85,58,25,14.45,scattered clouds
10,Yumen,CN,40.2833,97.2,27.99,29,20,5.28,few clouds
11,Yellowknife,CA,62.456,-114.3525,-25.71,83,20,3.44,mist
12,Abnub,EG,27.2696,31.1511,62.82,50,7,7.09,clear sky
13,Bluff,NZ,-46.6,168.3333,51.8,72,35,25.81,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,62.71,45,40,23.02,scattered clouds
15,Constitucion,CL,-35.3333,-72.4167,69.96,56,5,6.6,clear sky
16,Irbeyskoye,RU,55.6428,95.4522,-21.46,100,33,2.28,scattered clouds
17,Haukipudas,FI,65.1765,25.3523,19.15,93,100,10.38,overcast clouds
18,Atuona,PF,-9.8,-139.0333,78.53,79,69,20.42,light rain
19,Nouakchott,MR,18.0858,-15.9785,89.53,28,82,11.72,broken clouds
20,Vieste,IT,41.8825,16.175,46.9,70,13,7.47,few clouds
21,Kaiyuan,CN,23.6977,103.3037,50.54,91,7,4.36,clear sky
22,Castel San Giovanni,IT,45.0583,9.4335,43.57,94,100,2.13,overcast clouds
23,Khani,GE,41.9563,42.9566,24.37,95,98,2.98,light snow
24,Chicama,PE,-7.8447,-79.1469,64.94,61,16,9.55,few clouds
25,Nara,JP,34.6851,135.8049,43.88,63,61,2.08,broken clouds
26,Tunceli,TR,39.1083,39.5471,27.46,60,6,6.58,clear sky
27,Soyo,AO,-6.1349,12.3689,86.05,86,67,10.27,light rain
28,Johi,PK,26.6921,67.6133,68.63,15,0,5.46,clear sky
29,Sur,OM,22.5667,59.5289,73.33,61,17,2.48,few clouds
30,Aberdeen,GB,57.1437,-2.0981,34.29,90,100,3.44,overcast clouds
31,Barrow,US,71.2906,-156.7887,-7.58,77,1,24.16,mist
32,Pimentel,PE,-6.8367,-79.9342,77.29,57,0,8.05,clear sky
33,Port Alfred,ZA,-33.5906,26.891,70.68,86,93,10.36,light rain
34,Airai,TL,-8.9266,125.4092,60.08,94,100,3.44,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,58.62,58,0,19.57,clear sky
36,Chokurdakh,RU,70.6333,147.9167,-20.54,98,100,6.67,overcast clouds
37,Hirara,JP,24.8,125.2833,72.16,83,100,27.89,overcast clouds
38,Rikitea,PF,-23.1203,-134.9692,76.84,79,91,11.16,overcast clouds
39,Lebu,CL,-37.6167,-73.65,63.73,70,0,15.68,clear sky
40,Hermanus,ZA,-34.4187,19.2345,74.89,75,50,20.02,scattered clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,18.41,light snow
42,Vaini,TO,-21.2,-175.2,78.96,94,75,6.91,broken clouds
43,Vanimo,PG,-2.6741,141.3028,78.06,93,100,14.81,heavy intensity rain
44,Albany,US,42.6001,-73.9662,43.27,66,35,3.0,scattered clouds
45,Kupang,ID,-10.1667,123.5833,72.18,100,75,5.75,thunderstorm with light rain
46,Narsaq,GL,60.9167,-46.05,46.62,54,100,16.87,overcast clouds
47,Pisco,PE,-13.7,-76.2167,72.01,83,20,10.36,smoke
48,Bonavista,CA,48.6499,-53.1147,30.11,71,26,15.95,scattered clouds
49,Cidreira,BR,-30.1811,-50.2056,76.44,61,2,15.82,clear sky
50,Ancud,CL,-41.8697,-73.8203,81.23,68,4,7.78,clear sky
51,Mataura,NZ,-46.1927,168.8643,51.48,89,16,3.85,few clouds
52,Paamiut,GL,61.994,-49.6678,33.33,91,100,8.7,overcast clouds
53,La Ronge,CA,55.1001,-105.2842,-1.95,78,90,0.0,light snow
54,Punganuru,IN,13.3667,78.5833,62.42,81,2,3.53,clear sky
55,Moose Factory,CA,51.2585,-80.6094,1.4,78,90,12.66,light snow
56,Dikson,RU,73.5069,80.5464,-2.45,84,100,16.28,overcast clouds
57,Mingaora,PK,34.7758,72.3625,50.52,27,99,5.91,overcast clouds
58,Jamestown,US,42.097,-79.2353,28.09,81,90,8.99,light snow
59,Saint-Pierre,RE,-21.3393,55.4781,76.68,89,99,0.0,overcast clouds
60,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,96,15.21,overcast clouds
61,Luderitz,NA,-26.6481,15.1594,67.69,71,0,9.69,clear sky
62,Manono,CD,-7.3,27.4167,74.01,91,98,1.03,overcast clouds
63,Oranjemund,NA,-28.55,16.4333,67.23,69,0,7.65,clear sky
64,Roros,NO,62.5747,11.3842,17.44,93,90,4.61,overcast clouds
65,East London,ZA,-33.0153,27.9116,70.74,83,20,11.5,light rain
66,Qaanaaq,GL,77.484,-69.3632,25.59,62,12,12.26,few clouds
67,Butaritari,KI,3.0707,172.7902,80.92,71,100,4.9,overcast clouds
68,Kruisfontein,ZA,-34.0033,24.7314,67.89,88,100,11.23,light rain
69,Sayat,TM,38.7839,63.8803,49.87,53,7,8.05,clear sky
70,Vardo,NO,70.3705,31.1107,26.8,93,90,21.85,light snow
71,Victoria,HK,22.2855,114.1577,68.38,87,30,1.99,scattered clouds
72,Boyolangu,ID,-8.1181,111.8935,77.2,90,87,2.13,overcast clouds
73,Lompoc,US,34.6391,-120.4579,64.13,68,90,5.75,overcast clouds
74,Half Moon Bay,US,37.4636,-122.4286,55.35,95,90,1.01,mist
75,Kapaa,US,22.0752,-159.319,71.92,79,90,5.99,light rain
76,Cayenne,GF,4.9333,-52.3333,78.84,92,75,3.44,moderate rain
77,Goya,AR,-29.14,-59.2626,102.07,21,65,10.04,broken clouds
78,Kinsale,IE,51.7075,-8.5306,52.97,100,75,14.97,broken clouds
79,Saint-Augustin,CA,51.226,-58.6502,11.86,68,3,3.36,clear sky
80,Agirish,RU,61.9247,63.0231,-5.46,96,100,4.99,overcast clouds
81,Liku,ID,-0.7275,119.8922,74.05,89,97,1.16,overcast clouds
82,Saint George,US,37.1041,-113.5841,55.54,93,1,0.0,clear sky
83,Malakal,SS,9.5334,31.6605,83.03,31,52,5.7,broken clouds
84,Arrecife,ES,28.963,-13.5477,71.67,83,40,6.91,scattered clouds
85,Tilichiki,RU,60.4667,166.1,-1.08,95,100,13.15,light snow
86,Roald,NO,62.5833,6.1333,36.91,93,75,3.44,light rain
87,Norman Wells,CA,65.282,-126.8329,-3.96,77,90,0.0,light snow
88,Nikolskoye,RU,59.7035,30.7861,10.29,96,67,5.75,broken clouds
89,Ribeira Grande,PT,38.5167,-28.7,61.2,63,40,27.63,scattered clouds
90,Lesnoye,RU,58.2841,35.5158,-2.04,98,86,6.13,overcast clouds
91,Carnarvon,AU,-24.8667,113.6333,71.67,78,90,21.85,overcast clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,90,7.07,overcast clouds
93,Souillac,MU,-20.5167,57.5167,79.36,100,75,11.5,light rain
94,Port Hardy,CA,50.6996,-127.4199,37.4,100,90,2.3,snow
95,Thompson,CA,55.7435,-97.8558,-29.04,75,40,4.61,scattered clouds
96,Batemans Bay,AU,-35.7167,150.1833,67.19,94,100,0.92,overcast clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,78.82,88,20,10.0,few clouds
98,Hobart,AU,-42.8794,147.3294,49.05,74,71,8.05,broken clouds
99,Torbay,CA,47.6666,-52.7314,31.57,71,39,5.99,scattered clouds
100,Cape Town,ZA,-33.9258,18.4232,76.26,72,20,4.0,few clouds
101,Provideniya,RU,64.3833,-173.3,2.86,91,100,24.16,snow
102,Ambilobe,MG,-13.2,49.05,80.24,83,46,2.13,light rain
103,Macomer,IT,40.262,8.7699,49.03,83,80,2.57,broken clouds
104,Busselton,AU,-33.65,115.3333,62.1,80,78,12.1,broken clouds
105,Kaitangata,NZ,-46.2817,169.8464,50.94,67,5,9.73,clear sky
106,Esperance,AU,-33.8667,121.9,58.84,89,49,10.96,scattered clouds
107,Chiusi,IT,43.016,11.9475,47.37,87,93,2.73,overcast clouds
108,Vadso,NO,70.0744,29.7487,26.76,86,90,17.27,snow
109,Mugango,TZ,-1.6833,33.7,78.98,73,89,3.11,overcast clouds
110,Saskylakh,RU,71.9167,114.0833,-28.62,100,39,4.43,scattered clouds
111,Sao Mateus,BR,-18.7161,-39.8589,82.53,77,80,6.58,broken clouds
112,Cabo San Lucas,MX,22.8909,-109.9124,77.5,54,26,1.01,scattered clouds
113,Guerrero Negro,MX,27.9769,-114.0611,65.5,63,100,8.03,overcast clouds
114,Cururupu,BR,-1.8283,-44.8683,89.35,53,81,9.46,broken clouds
115,Seoul,KR,37.5683,126.9778,31.44,86,0,3.44,clear sky
116,Windhoek,NA,-22.5594,17.0832,82.89,13,0,16.11,clear sky
117,Pailon,BO,-17.65,-62.75,82.08,97,100,4.03,light rain
118,Geraldton,AU,-28.7667,114.6,70.21,83,1,12.66,clear sky
119,Carutapera,BR,-1.195,-46.02,88.97,56,100,11.79,overcast clouds
120,Kodiak,US,57.79,-152.4072,34.3,70,100,5.7,overcast clouds
121,Bredasdorp,ZA,-34.5322,20.0403,70.92,73,81,16.11,light rain
122,Port Elizabeth,ZA,-33.918,25.5701,70.11,88,90,5.75,light rain
123,Lasa,IT,46.6166,10.7002,36.86,50,7,2.95,clear sky
124,Horta,PT,38.5333,-28.6333,60.44,63,40,27.63,scattered clouds
125,Hasaki,JP,35.7333,140.8333,37.8,50,100,13.96,overcast clouds
126,Zaltan,LY,32.947,11.8665,61.74,34,24,7.27,few clouds
127,Padang,ID,-0.9492,100.3543,76.66,93,99,4.83,light rain
128,Abu Samrah,SY,35.3029,37.1841,48.78,69,84,6.29,broken clouds
129,Kouroussa,GN,10.65,-9.8833,90.63,13,89,7.76,overcast clouds
130,Avarua,CK,-21.2078,-159.775,77.05,83,20,9.22,light rain
131,Mahebourg,MU,-20.4081,57.7,79.25,100,75,11.5,light rain
132,Garowe,SO,8.4054,48.4845,77.23,52,25,18.1,scattered clouds
133,Nassjo,SE,57.6531,14.6968,25.29,76,93,6.22,light snow
134,Hithadhoo,MV,-0.6,73.0833,81.84,73,98,4.83,overcast clouds
135,Spasskoye,RU,44.6108,132.7969,-6.39,93,9,1.01,clear sky
136,Sorland,NO,67.667,12.6934,26.67,58,96,6.82,overcast clouds
137,Bage,BR,-31.3314,-54.1069,87.58,42,40,10.36,scattered clouds
138,Yeppoon,AU,-23.1333,150.7333,74.98,80,10,4.21,clear sky
139,Naze,JP,28.3667,129.4833,62.8,68,99,15.03,overcast clouds
140,Shenxian,CN,36.2411,115.6672,36.57,88,0,6.73,clear sky
141,Taltal,CL,-25.4,-70.4833,67.84,73,93,4.16,overcast clouds
142,Sinnamary,GF,5.3833,-52.95,75.29,96,100,8.66,moderate rain
143,Ostrovnoy,RU,68.0531,39.5131,20.12,91,100,7.18,overcast clouds
144,New Norfolk,AU,-42.7826,147.0587,47.71,56,90,2.48,light rain
145,Zhezkazgan,KZ,47.8043,67.7144,32.79,98,100,9.22,overcast clouds
146,Rocha,UY,-34.4833,-54.3333,78.78,40,0,13.38,clear sky
147,Tiksi,RU,71.6872,128.8694,-14.31,98,100,6.08,overcast clouds
148,North Branch,US,45.5113,-92.9802,19.4,88,54,7.72,broken clouds
149,Thunder Bay,CA,48.4001,-89.3168,6.98,78,75,0.0,broken clouds
150,La Puebla Del Rio,ES,37.2679,-6.0626,62.65,92,75,10.2,light rain
151,Moratuwa,LK,6.773,79.8816,78.82,82,15,7.14,few clouds
152,Tommot,RU,58.9564,126.2925,-41.55,99,100,0.81,overcast clouds
153,Dryden,CA,49.7833,-92.7503,-0.11,85,90,0.0,overcast clouds
154,San Patricio,US,28.017,-97.5169,72.88,52,9,8.5,clear sky
155,Ponta Delgada,PT,37.7333,-25.6667,60.49,72,40,27.63,scattered clouds
156,Skjervoy,NO,70.0311,20.9714,15.8,94,100,27.25,light snow
157,Zhanaozen,KZ,43.3,52.8,33.98,88,99,9.93,overcast clouds
158,Hofn,IS,64.2539,-15.2082,28.42,69,0,9.22,clear sky
159,Oneonta,US,42.4529,-75.0638,38.82,81,26,1.01,scattered clouds
160,Tura,IN,25.5198,90.2201,59.11,76,40,2.44,scattered clouds
161,Guatire,VE,10.4762,-66.5427,85.21,70,72,5.55,broken clouds
162,Omsk,RU,55.0,73.4,26.49,79,75,21.99,broken clouds
163,Tucumcari,US,35.1717,-103.725,55.94,15,1,6.91,clear sky
164,Montbrison,FR,45.6667,4.0833,33.06,79,5,3.36,clear sky
165,Catemaco,MX,18.4167,-95.1167,69.55,78,89,1.68,overcast clouds
166,Romitan,UZ,39.9343,64.3814,44.55,81,0,0.0,clear sky
167,Sao Filipe,CV,14.8961,-24.4956,76.06,70,2,14.56,clear sky
168,Mao,ES,39.8885,4.2658,55.96,88,75,3.44,broken clouds
169,Longyearbyen,SJ,78.2186,15.6401,8.44,56,20,5.75,few clouds
170,Clyde River,CA,70.4692,-68.5914,8.83,92,90,13.8,snow
171,Nyurba,RU,63.2842,118.3319,-28.5,99,100,0.54,overcast clouds
172,Varhaug,NO,58.6147,5.6457,38.48,93,100,14.54,overcast clouds
173,Sola,VU,-13.8833,167.55,81.64,72,94,4.92,overcast clouds
174,Quatre Cocos,MU,-20.2078,57.7625,79.09,83,100,14.5,light rain
175,Velingara,SN,13.15,-14.1167,96.71,9,91,11.16,overcast clouds
176,Acari,PE,-15.4311,-74.6158,80.08,48,90,10.25,overcast clouds
177,Son La,VN,21.3167,103.9,54.86,91,6,3.13,clear sky
178,Mayo,US,38.8876,-76.5119,49.86,60,35,15.99,scattered clouds
179,Ahipara,NZ,-35.1667,173.1667,64.04,84,100,10.94,overcast clouds
180,Swan River,CA,52.1058,-101.2676,4.89,85,94,4.61,overcast clouds
181,Nuevo Progreso,MX,23.1667,-97.95,75.47,64,0,4.0,clear sky
182,Khatanga,RU,71.9667,102.5,-36.31,99,27,1.54,scattered clouds
183,Larsnes,NO,62.2028,5.5773,36.61,95,100,2.24,light rain
184,Vila Velha,BR,-20.3297,-40.2925,87.75,78,20,10.0,light rain
185,Upernavik,GL,72.7868,-56.1549,22.98,69,66,8.72,broken clouds
186,Dakar,SN,14.6937,-17.4441,88.68,61,0,9.22,clear sky
187,Trelew,AR,-43.249,-65.3051,84.9,19,27,19.28,scattered clouds
188,Guiratinga,BR,-16.3494,-53.7583,81.77,73,99,7.49,light rain
189,Nysa,PL,50.4738,17.3344,23.92,80,89,4.21,overcast clouds
190,Tukrah,LY,32.5341,20.5791,58.59,63,24,6.89,few clouds
191,Saldanha,ZA,-33.0117,17.9442,71.65,86,65,11.41,broken clouds
192,Kisiwani,TZ,-4.1333,37.95,71.28,95,99,4.14,moderate rain
193,Ilulissat,GL,69.2167,-51.1,28.6,66,100,9.95,overcast clouds
194,Berdigestyakh,RU,62.0989,126.6992,-51.74,100,89,2.21,overcast clouds
195,Tuatapere,NZ,-46.1333,167.6833,51.82,84,34,6.96,scattered clouds
196,Sangre Grande,TT,10.5835,-61.1177,82.89,87,100,12.08,overcast clouds
197,Kavieng,PG,-2.5744,150.7967,81.88,79,84,5.91,light rain
198,Launceston,AU,-41.45,147.1667,53.24,54,90,12.66,overcast clouds
199,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.12,73,98,4.45,overcast clouds
200,Grootfontein,NA,-19.5667,18.1167,87.37,25,95,5.75,overcast clouds
201,Sackville,CA,45.9188,-64.3846,28.98,75,100,11.68,overcast clouds
202,Yambio,SS,4.5721,28.3955,83.86,35,100,3.53,overcast clouds
203,Salalah,OM,17.0151,54.0924,71.91,74,56,2.39,broken clouds
204,Nome,US,64.5011,-165.4064,12.11,66,100,8.34,light snow
205,Kentau,KZ,43.5206,68.5094,44.22,78,98,4.14,overcast clouds
206,Atima,HN,14.9333,-88.4833,68.65,84,95,3.49,overcast clouds
207,Owerri,NG,5.4833,7.0304,89.37,28,25,3.74,scattered clouds
208,Sao Felipe,BR,-14.8167,-41.3833,78.75,80,91,6.11,overcast clouds
209,Leningradskiy,RU,69.3833,178.4167,-18.65,99,77,6.33,broken clouds
210,Cerritos,US,33.8583,-118.0648,67.03,73,1,1.01,clear sky
211,Abashiri,JP,44.0213,144.2697,31.95,75,100,13.96,overcast clouds
212,Nurota,UZ,40.5614,65.6886,41.09,57,43,1.45,scattered clouds
213,Manaure,CO,11.7751,-72.4445,82.51,65,44,7.14,scattered clouds
214,Kaeo,NZ,-35.1,173.7833,63.32,84,100,6.89,overcast clouds
215,Brownsville,US,25.9018,-97.4975,71.94,74,1,3.0,clear sky
216,Yenagoa,NG,4.9247,6.2642,90.81,30,39,3.22,scattered clouds
217,Georgetown,MY,5.4112,100.3354,78.89,88,20,1.01,few clouds
218,Kangaatsiaq,GL,68.3065,-53.4641,22.08,82,97,6.82,overcast clouds
219,Guanambi,BR,-14.2233,-42.7814,82.29,63,78,4.18,broken clouds
220,Povenets,RU,62.8487,34.8262,15.69,84,100,10.18,overcast clouds
221,Sao Sepe,BR,-30.1606,-53.5653,80.55,25,86,7.29,overcast clouds
222,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,73,95,16.55,overcast clouds
223,Adrar,MR,20.5022,-10.0711,76.95,19,100,10.11,overcast clouds
224,Kurunegala,LK,7.4863,80.3623,77.52,90,44,2.64,scattered clouds
225,Mahanoro,MG,-19.9,48.8,79.38,91,93,11.25,overcast clouds
226,Iqaluit,CA,63.7506,-68.5145,15.53,67,90,12.66,overcast clouds
227,Anadyr,RU,64.75,177.4833,10.9,79,75,24.61,light shower snow
228,Nemuro,JP,43.3236,145.575,34.54,79,90,15.77,overcast clouds
229,Wewak,PG,-3.5534,143.6268,78.91,88,71,13.42,moderate rain
230,Mogadishu,SO,2.0371,45.3438,79.77,78,97,18.84,overcast clouds
231,Mattru,SL,7.6244,-11.8332,91.72,27,75,2.57,broken clouds
232,Januaria,BR,-15.4833,-44.3667,82.71,67,82,3.62,light rain
233,Iberia,US,29.9502,-91.7507,60.06,51,0,5.55,clear sky
234,Mangai,CD,-4.05,19.5333,76.33,86,100,0.69,light rain
235,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,13.8,thunderstorm
236,Berlevag,NO,70.8578,29.0864,24.75,86,75,20.71,light snow
237,Lahat,ID,-3.8,103.5333,72.34,97,61,2.51,broken clouds
238,Adre,TD,13.4667,22.2,73.85,20,18,9.51,few clouds
239,Broome,US,42.2506,-75.833,37.83,73,90,4.0,light snow
240,Iquitos,PE,-3.7481,-73.2472,86.04,74,75,3.44,broken clouds
241,Alofi,NU,-19.0595,-169.9187,71.49,94,82,1.14,broken clouds
242,Mandera,KE,3.9366,41.867,92.07,29,99,11.48,overcast clouds
243,Talnakh,RU,69.4865,88.3972,4.21,81,100,12.62,overcast clouds
244,Peace River,CA,56.2501,-117.286,9.66,96,90,5.99,light snow
245,Kushima,JP,31.4583,131.2333,44.11,84,0,4.36,clear sky
246,Yining,CN,29.0361,114.5636,47.97,59,0,0.89,clear sky
247,Castro,BR,-24.7911,-50.0119,88.45,28,11,8.57,few clouds
248,Sorong,ID,-0.8833,131.25,80.49,82,100,15.68,light rain
249,Bonthe,SL,7.5264,-12.505,84.25,43,80,10.87,broken clouds
250,Burns Lake,CA,54.2331,-125.7533,13.42,95,100,3.8,light snow
251,Tiarei,PF,-17.5333,-149.3333,77.02,80,99,12.59,light rain
252,Pangai,TO,-19.8,-174.35,81.41,72,97,19.1,overcast clouds
253,Chapais,CA,49.7834,-74.8492,11.98,88,100,3.53,overcast clouds
254,Paita,PE,-5.0892,-81.1144,79.36,71,63,8.39,broken clouds
255,North Bend,US,43.4065,-124.2243,51.08,96,90,4.61,overcast clouds
256,Axim,GH,4.8699,-2.2405,83.28,63,97,9.35,overcast clouds
257,Manturovo,RU,58.3353,44.7619,-1.28,97,100,4.41,overcast clouds
258,Svetlaya,RU,46.5389,138.3297,2.95,73,74,9.73,broken clouds
259,Gisborne,NZ,-38.6533,178.0042,59.95,80,100,3.96,overcast clouds
260,Chuy,UY,-33.6971,-53.4616,77.31,48,3,12.73,clear sky
261,Havelock,US,34.8791,-76.9013,50.99,85,90,10.0,overcast clouds
262,Dandong,CN,40.1292,124.3947,25.05,37,21,5.28,few clouds
263,Azare,NG,11.6765,10.1948,78.39,23,2,9.19,clear sky
