City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-12-20 19:05:52,-53.15,-70.9167,55.51,54,40,35.68
1,Hobart,AU,2021-12-20 19:08:27,-42.8794,147.3294,60.26,55,75,12.66
2,Bowen,AU,2021-12-20 19:12:56,-20.0167,148.2333,78.12,73,100,9.57
3,Porto Novo,BJ,2021-12-20 19:12:56,6.4965,2.6036,80.28,57,83,5.61
4,Filingue,NE,2021-12-20 19:12:56,14.3521,3.3168,74.39,14,0,11.07
5,Kruisfontein,ZA,2021-12-20 19:12:57,-34.0033,24.7314,69.89,86,83,13.29
6,Brae,GB,2021-12-20 19:12:57,60.3964,-1.353,37.31,74,50,2.75
7,Rikitea,PF,2021-12-20 19:12:57,-23.1203,-134.9692,75.52,81,100,20.36
8,Thompson,CA,2021-12-20 19:12:58,55.7435,-97.8558,-5.98,92,100,7.96
9,Necochea,AR,2021-12-20 19:12:58,-38.5473,-58.7368,71.04,61,36,15.32
10,Albany,US,2021-12-20 19:12:59,42.6001,-73.9662,35.58,61,24,1.01
11,Alofi,NU,2021-12-20 19:12:59,-19.0595,-169.9187,79.75,76,80,16.98
12,Belmonte,BR,2021-12-20 19:12:59,-15.8631,-38.8828,73.9,92,100,5.12
13,Batemans Bay,AU,2021-12-20 19:13:00,-35.7167,150.1833,62.91,84,45,3.8
14,Port Hedland,AU,2021-12-20 19:13:00,-20.3167,118.5667,82.45,83,11,8.05
15,Kavieng,PG,2021-12-20 19:05:53,-2.5744,150.7967,80.85,79,100,8.12
16,Itarema,BR,2021-12-20 19:07:19,-2.9248,-39.9167,85.64,61,69,16.02
17,Saint-Philippe,RE,2021-12-20 19:13:01,-21.3585,55.7679,78.39,83,92,9.42
18,Dikson,RU,2021-12-20 19:13:02,73.5069,80.5464,-19.86,96,100,10.49
19,Kodiak,US,2021-12-20 19:13:02,57.79,-152.4072,33.31,80,40,5.75
20,Hermanus,ZA,2021-12-20 19:07:14,-34.4187,19.2345,68.81,80,97,17.58
21,Anloga,GH,2021-12-20 19:13:02,5.7947,0.8973,82.6,58,24,11.56
22,Jamestown,US,2021-12-20 19:10:48,42.097,-79.2353,38.79,61,1,10.0
23,Arauca,CO,2021-12-20 19:13:03,7.0847,-70.7591,91.13,42,91,5.61
24,Port Alfred,ZA,2021-12-20 19:06:01,-33.5906,26.891,70.2,88,44,25.03
25,Rocha,UY,2021-12-20 19:13:03,-34.4833,-54.3333,83.19,42,1,12.12
26,North Platte,US,2021-12-20 19:13:04,41.1239,-100.7654,33.69,56,1,5.99
27,Mataura,NZ,2021-12-20 19:13:04,-46.1927,168.8643,53.47,86,100,11.43
28,Tasiilaq,GL,2021-12-20 19:05:57,65.6145,-37.6368,30.36,63,99,5.1
29,Khash,IR,2021-12-20 19:13:05,28.2211,61.2158,54.18,51,100,2.28
30,Carnarvon,AU,2021-12-20 19:13:05,-24.8667,113.6333,73.47,78,0,16.11
31,Aranda De Duero,ES,2021-12-20 19:13:05,41.6704,-3.6892,46.38,63,100,2.46
32,Salinopolis,BR,2021-12-20 19:07:04,-0.6136,-47.3561,84.47,66,92,12.68
33,Nikolskoye,RU,2021-12-20 19:13:06,59.7035,30.7861,8.8,96,100,6.98
34,San Bartolome De Tirajana,ES,2021-12-20 19:13:06,27.9248,-15.5733,58.51,87,20,10.36
35,Puerto Ayora,EC,2021-12-20 19:13:07,-0.7393,-90.3518,80.56,86,100,5.99
36,Ushuaia,AR,2021-12-20 19:11:27,-54.8,-68.3,55.02,66,40,39.12
37,Uyuni,BO,2021-12-20 19:13:07,-20.4597,-66.825,60.06,43,98,8.43
38,Raudeberg,NO,2021-12-20 19:13:07,61.9875,5.1352,34.2,72,100,4.29
